
Predictions were generated on 03-Oct-2023 at 19:51:20 using OpenFAST, compiled as a DLL S-Function for Simulink as a 64-bit application using double precision at commit v3.3.0-1-g4e85fa62-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: IEA 15 MW offshore reference model monopile configuration

Time	Wind1VelX	Wind1VelY	BldPitch1	GenSpeed	TTDspFA	TTDspSS	YawBrTAxp	YawBrTAyp	GenPwr	GenTq
(s)	(m/s)	(m/s)	(deg)	(rpm)	(m)	(m)	(m/s^2)	(m/s^2)	(kW)	(kN-m)
   10.0000	 1.800E+01	 0.000E+00	 5.000E+00	 1.387E+01	 2.319E+00	 3.774E-02	-3.493E-01	-9.967E-02	-1.515E-01	-9.986E-02
   10.2000	 1.800E+01	 0.000E+00	 5.000E+00	 1.408E+01	 2.307E+00	 4.125E-02	-3.164E-01	-1.773E-01	-1.538E-01	-9.986E-02
   10.4000	 1.800E+01	 0.000E+00	 5.000E+00	 1.430E+01	 2.282E+00	 3.841E-02	-2.250E-01	-1.213E-01	-1.561E-01	-9.986E-02
   10.6000	 1.800E+01	 0.000E+00	 5.000E+00	 1.449E+01	 2.248E+00	 3.075E-02	-1.265E-01	 1.510E-04	-1.582E-01	-9.986E-02
   10.8000	 1.800E+01	 0.000E+00	 5.000E+00	 1.470E+01	 2.210E+00	 2.347E-02	-1.092E-02	 1.496E-01	-1.605E-01	-9.985E-02
   11.0000	 1.800E+01	 0.000E+00	 5.000E+00	 1.491E+01	 2.171E+00	 2.055E-02	 9.142E-02	-2.737E-02	-1.628E-01	-9.985E-02
   11.2000	 1.800E+01	 0.000E+00	 5.000E+00	 1.509E+01	 2.136E+00	 1.630E-02	 1.692E-01	-2.099E-01	-1.647E-01	-9.985E-02
   11.4000	 1.800E+01	 0.000E+00	 5.000E+00	 1.531E+01	 2.107E+00	 5.318E-03	 1.972E-01	-4.536E-02	-1.672E-01	-9.985E-02
   11.6000	 1.800E+01	 0.000E+00	 5.000E+00	 1.549E+01	 2.087E+00	-8.110E-03	 2.386E-01	 4.102E-02	-1.691E-01	-9.985E-02
   11.8000	 1.800E+01	 0.000E+00	 5.000E+00	 1.567E+01	 2.076E+00	-1.979E-02	 3.120E-01	 8.584E-02	-1.711E-01	-9.984E-02
   12.0000	 1.800E+01	 0.000E+00	 5.000E+00	 1.589E+01	 2.078E+00	-2.891E-02	 3.004E-01	-3.765E-02	-1.735E-01	-9.984E-02
   12.2000	 1.800E+01	 0.000E+00	 5.000E+00	 1.604E+01	 2.091E+00	-3.862E-02	 2.596E-01	 1.605E-02	-1.751E-01	-9.984E-02
   12.4000	 1.800E+01	 0.000E+00	 5.000E+00	 1.623E+01	 2.114E+00	-4.752E-02	 1.833E-01	-1.102E-02	-1.772E-01	-9.984E-02
   12.6000	 1.800E+01	 0.000E+00	 5.000E+00	 1.642E+01	 2.144E+00	-5.643E-02	 1.603E-01	 9.620E-02	-1.793E-01	-9.984E-02
   12.8000	 1.800E+01	 0.000E+00	 5.000E+00	 1.657E+01	 2.181E+00	-6.138E-02	 9.549E-02	 2.428E-01	-1.810E-01	-9.983E-02
   13.0000	 1.800E+01	 0.000E+00	 5.000E+00	 1.675E+01	 2.221E+00	-5.773E-02	 6.396E-02	 8.297E-02	-1.829E-01	-9.983E-02
   13.2000	 1.800E+01	 0.000E+00	 5.000E+00	 1.694E+01	 2.264E+00	-5.062E-02	-3.035E-02	-2.452E-02	-1.849E-01	-9.983E-02
   13.4000	 1.800E+01	 0.000E+00	 5.000E+00	 1.706E+01	 2.306E+00	-4.358E-02	-1.196E-01	 7.790E-02	-1.863E-01	-9.983E-02
   13.6000	 1.800E+01	 0.000E+00	 5.000E+00	 1.725E+01	 2.342E+00	-3.319E-02	-1.600E-01	 7.654E-02	-1.883E-01	-9.983E-02
   13.8000	 1.800E+01	 0.000E+00	 5.000E+00	 1.740E+01	 2.372E+00	-2.045E-02	-1.312E-01	-4.411E-02	-1.900E-01	-9.983E-02
   14.0000	 1.800E+01	 0.000E+00	 5.000E+00	 1.755E+01	 2.397E+00	-8.637E-03	-1.898E-01	 2.716E-02	-1.916E-01	-9.982E-02
   14.2000	 1.800E+01	 0.000E+00	 5.000E+00	 1.771E+01	 2.414E+00	 3.294E-03	-1.869E-01	-1.226E-01	-1.933E-01	-9.982E-02
   14.4000	 1.800E+01	 0.000E+00	 5.000E+00	 1.787E+01	 2.424E+00	 1.109E-02	-1.915E-01	-6.725E-02	-1.951E-01	-9.982E-02
   14.6000	 1.800E+01	 0.000E+00	 5.000E+00	 1.799E+01	 2.426E+00	 1.662E-02	-1.990E-01	 1.154E-01	-1.964E-01	-9.982E-02
   14.8000	 1.800E+01	 0.000E+00	 5.000E+00	 1.817E+01	 2.421E+00	 2.539E-02	-1.046E-01	-1.020E-01	-1.983E-01	-9.982E-02
   15.0000	 1.800E+01	 0.000E+00	 5.000E+00	 1.831E+01	 2.411E+00	 3.145E-02	-6.237E-02	-1.123E-01	-1.998E-01	-9.982E-02
   15.2000	 1.800E+01	 0.000E+00	 5.000E+00	 1.844E+01	 2.399E+00	 3.296E-02	-8.807E-02	-4.054E-02	-2.013E-01	-9.982E-02
   15.4000	 1.800E+01	 0.000E+00	 5.000E+00	 1.860E+01	 2.383E+00	 3.276E-02	-1.371E-02	-5.143E-02	-2.030E-01	-9.981E-02
   15.6000	 1.800E+01	 0.000E+00	 5.000E+00	 1.874E+01	 2.366E+00	 3.046E-02	 3.874E-02	-2.560E-02	-2.046E-01	-9.981E-02
