time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates
495,43,495.0,11,-197.110883,1,,,,
990,36,495.0,26,-196.14379,2,0.004288831725716591,1.422741174697876,0.001,489
1485,35,495.0,42,-183.71556566666666,3,0.0009579682373441756,2.1394026279449463,0.001,984
1980,34,495.0,57,-170.6692665,4,0.026025256142020226,2.74204421043396,0.001,1479
2475,34,495.0,72,-162.86611639999998,5,0.03974854573607445,3.3017799854278564,0.001,1974
2970,33,495.0,87,-157.69512016666667,6,0.03672722354531288,3.8656790256500244,0.001,2469
3465,33,495.0,102,-153.94282028571428,7,0.00018930355145130306,4.345364093780518,0.001,2964
3960,33,495.0,118,-151.15114325,8,4.7821009502513334e-05,4.810354709625244,0.001,3459
4455,33,495.0,133,-148.9915961111111,9,0.0036801686510443687,5.1956787109375,0.001,3954
4950,33,495.0,149,-147.26225409999998,10,0.04038837179541588,5.649259090423584,0.001,4449
5445,33,495.0,164,-145.83515599999998,11,0.001084060873836279,5.816464424133301,0.001,4944
5940,32,495.0,181,-144.68652074999997,12,0.0002786024706438184,6.314334392547607,0.001,5439
6435,13,495.0,493,-143.68572261538458,13,0.0016587707214057446,6.694051742553711,0.001,5934
6930,13,495.0,508,-142.81350635714284,14,0.00010453791765030473,6.884681701660156,0.001,6429
7425,14,495.0,521,-142.069319,15,0.0001509121502749622,7.260896682739258,0.001,6924
7920,14,495.0,536,-141.42674493750002,16,0.0008740890771150589,7.68369722366333,0.001,7419
8415,15,495.0,553,-140.8526935882353,17,0.00012298447836656123,7.726593017578125,0.001,7914
8910,15,495.0,570,-140.32259811111112,18,0.05420112982392311,7.850553512573242,0.001,8409
9405,15,495.0,589,-139.89188021052632,19,0.11180473864078522,8.220085144042969,0.001,8904
9900,16,495.0,614,-140.31101485000002,20,0.0013085935497656465,8.31345272064209,0.001,9399
10395,16,495.0,638,-143.27821204761906,21,0.05818862468004227,9.033288955688477,0.001,9894
10890,16,495.0,657,-143.68740272727274,22,0.00020537010277621448,9.126248359680176,0.001,10389
11385,16,495.0,676,-143.8399346956522,23,0.17286889255046844,9.162449836730957,0.001,10884
11880,17,495.0,698,-143.36805804166667,24,0.00021837106032762676,9.368680000305176,0.001,11379
12375,17,495.0,723,-144.25740711999998,25,0.057205162942409515,9.804342269897461,0.001,11874
12870,17,495.0,744,-144.8408023076923,26,0.0023995251394808292,9.938603401184082,0.001,12369
13365,17,495.0,764,-146.30017207407406,27,0.5823642611503601,10.06033706665039,0.001,12864
13860,17,495.0,801,-146.91865157142857,28,0.003909222781658173,10.600276947021484,0.001,13359
14355,17,495.0,831,-146.54157844827586,29,0.00018297313363291323,10.301301002502441,0.001,13854
14850,17,495.0,853,-146.0482161333333,30,0.001518002594821155,10.35394287109375,0.001,14349
15345,17,495.0,876,-145.70266074193546,31,0.0001894214510684833,10.3675537109375,0.001,14844
15840,17,495.0,896,-147.0159580625,32,0.0014286848017945886,10.824527740478516,0.001,15339
16335,17,495.0,914,-148.38720557575758,33,0.000882222899235785,11.184636116027832,0.001,15834
16830,17,495.0,936,-147.9002475588235,34,0.0033352214377373457,11.382195472717285,0.001,16329
17325,18,495.0,960,-147.4494972,35,0.5604018568992615,11.504634857177734,0.001,16824
17820,18,495.0,980,-147.15227180555556,36,0.22410032153129578,11.676063537597656,0.001,17319
18315,18,495.0,999,-146.76279208108107,37,0.002669995417818427,11.291969299316406,0.001,17814
18810,18,495.0,1033,-146.60527936842107,38,0.05285267159342766,11.443315505981445,0.001,18309
19305,18,495.0,1060,-147.52707766666668,39,0.00037670505116693676,11.752211570739746,0.001,18804
19800,17,495.0,1111,-148.72020345,40,0.005615308415144682,11.778007507324219,0.001,19299
20295,17,495.0,1149,-149.80151712195124,41,0.0064181974157691,11.864315032958984,0.001,19794
20790,17,495.0,1196,-150.62341533333333,42,0.015251301229000092,12.290535926818848,0.001,20289
21285,17,495.0,1243,-151.5039451627907,43,0.048872724175453186,12.22275447845459,0.001,20784
21780,17,495.0,1272,-152.48901138636364,44,0.04769435152411461,12.648004531860352,0.001,21279
22275,16,495.0,1310,-153.4455878,45,0.13910511136054993,12.668170928955078,0.001,21774
22770,16,495.0,1377,-154.24622095652174,46,0.0032376120798289776,12.828721046447754,0.001,22269
23265,15,495.0,1454,-155.09032206382977,47,0.0022859685122966766,13.497797966003418,0.001,22764
23760,15,495.0,1508,-155.92827941666667,48,0.3186933398246765,12.88470458984375,0.001,23259
24255,15,495.0,1560,-156.63976795918367,49,0.7316656708717346,13.44118881225586,0.001,23754
24750,15,495.0,1603,-157.33960232,50,0.0012753065675497055,13.209446907043457,0.001,24249
25245,15,495.0,1622,-158.03369094117647,51,0.4800660014152527,13.141718864440918,0.001,24744
