Wall time,Step,Value
1732555864.1085668,495,-67.59847259521484
1732555878.434512,990,-712.1715087890625
1732555892.3613203,1485,-1262.749267578125
1732555907.804699,1980,-1540.2781982421875
1732555929.0377452,2475,-1706.175048828125
1732555955.3517973,2970,-1817.330322265625
1732555980.532451,3465,-1655.191162109375
1732556000.2928822,3960,-1473.6685791015625
1732556018.297035,4455,-1332.4842529296875
1732556038.3120296,4950,-1219.5367431640625
1732556062.1248813,5445,-1127.125244140625
1732556082.4775057,5940,-1046.211181640625
1732556101.1504238,6435,-966.7235107421875
1732556122.544478,6930,-898.3118286132812
1732556150.3046408,7425,-838.9141235351562
1732556170.4072938,7920,-786.8862915039062
1732556185.6135166,8415,-740.974853515625
1732556201.6640174,8910,-700.2035522460938
1732556216.8362248,9405,-663.78759765625
1732556232.8820453,9900,-631.129638671875
1732556250.5591228,10395,-601.7017211914062
1732556276.781573,10890,-575.0658569335938
1732556297.1817517,11385,-550.9044189453125
1732556312.5320544,11880,-528.9521484375
1732556331.1146216,12375,-508.9369201660156
1732556357.4327095,12870,-490.6578369140625
1732556391.613627,13365,-473.9200744628906
1732556433.5544758,13860,-458.5641174316406
1732556465.9823785,14355,-444.239013671875
1732556511.0925968,14850,-431.2545166015625
1732556531.9839342,15345,-419.265869140625
1732556550.1466067,15840,-406.9334411621094
1732556568.4427648,16335,-395.5283508300781
1732556586.3673007,16830,-384.62677001953125
1732556617.632617,17325,-374.3677673339844
1732556661.40395,17820,-364.6100769042969
1732556703.4514325,18315,-355.4273986816406
1732556728.5416315,18810,-346.7646179199219
1732556749.9772515,19305,-338.52349853515625
1732556780.6635597,19800,-330.68359375
1732556803.7253938,20295,-323.1673278808594
1732556824.4763365,20790,-316.00518798828125
1732556861.6452444,21285,-309.1450500488281
1732556886.857826,21780,-302.56201171875
1732556905.2181773,22275,-296.245849609375
1732556923.050207,22770,-290.14886474609375
1732556940.5455062,23265,-284.267822265625
1732556958.3042693,23760,-278.5821533203125
1732556977.155016,24255,-273.0830993652344
1732556995.0325873,24750,-267.76824951171875
1732557013.2108126,25245,-262.64202880859375
1732557031.2424893,25740,-257.71282958984375
1732557049.3078706,26235,-252.98370361328125
1732557068.94003,26730,-248.4530487060547
1732557086.937255,27225,-244.12158203125
1732557108.0345187,27720,-239.99746704101562
1732557129.9196684,28215,-236.06932067871094
1732557152.891546,28710,-232.3136749267578
1732557170.0794785,29205,-228.7431182861328
1732557187.4341486,29700,-225.34510803222656
1732557205.4919941,30195,-222.1049346923828
1732557226.61989,30690,-219.02395629882812
1732557247.8814862,31185,-216.0911407470703
1732557265.806569,31680,-213.29171752929688
1732557282.252743,32175,-210.62594604492188
1732557299.8628685,32670,-208.07940673828125
1732557319.0301723,33165,-205.6446533203125
1732557342.0039883,33660,-203.3279266357422
1732557363.8272145,34155,-201.11129760742188
1732557391.8742056,34650,-198.98419189453125
1732557429.4058893,35145,-196.93524169921875
1732557461.321432,35640,-194.96017456054688
1732557497.3416047,36135,-193.06439208984375
1732557517.3369093,36630,-191.2417449951172
1732557535.2258918,37125,-189.4942169189453
1732557553.4170473,37620,-187.77308654785156
1732557571.5200765,38115,-186.12254333496094
1732557590.159376,38610,-184.51248168945312
1732557608.216229,39105,-182.9420623779297
1732557626.3705482,39600,-181.4019317626953
