,error,Pitch,WindSpeed,Pitch action,reward
0,-0.7898637805101414,,,0.95561504,-0.6238847917617728
1,,15.549999999999999,,0.95634985,-0.6118250012834557
2,,,18.0,0.95718837,-0.6388554870134882
3,-0.7821924323869771,,,0.9584377,-0.7433850362554466
4,,15.779453933238992,,0.9597907,-0.8755596820769274
5,,,18.0,0.96082664,-0.9483823751035654
6,-0.7992843592949184,,,0.96148145,-0.9439884087294519
7,,15.970827021598815,,0.9620571,-0.9321332367686365
8,,,18.0,0.9628904,-0.9790824572714071
9,-0.8621977941606245,,,0.96450007,-1.0806829256942438
10,,16.162422320842712,,0.9659953,-1.1708049787037758
11,,,18.0,0.9670613,-1.1917462445493874
12,-0.9357134615238403,,,0.967793,-1.160053682061946
13,,16.354287970066046,,0.96854305,-1.141684831320894
14,,,18.0,0.96952987,-1.1742320551776884
15,-0.973849256868621,,,0.9706235,-1.2306856388044245
16,,16.546387109756505,,0.9715409,-1.2522722333381913
17,,,18.0,0.9721706,-1.2157420805536823
18,-0.9715906590377719,,,0.9726598,-1.1562986327740765
19,,16.738641417026514,,0.9732263,-1.1207185291152102
20,,,18.0,0.97393274,-1.1187010330087297
21,-0.9654704743122062,,,0.9746554,-1.1208053196848664
22,,16.931010820865616,,0.97524095,-1.0921946161991352
23,,,18.0,0.97565746,-1.0279789616904758
24,-0.9894859560758844,,,0.9760022,-0.9537199088889244
25,,17.12352190494537,,0.9763893,-0.894279239353536
26,,,18.0,0.97655463,-0.8490626566325569
27,-1.0395590053932695,,,0.97662413,-0.7973302084488371
28,,17.3163100194931,,0.9766753,-0.723989044202859
29,,,18.0,0.9767096,-0.6361637048106239
30,-1.0820374201957046,,,0.97674143,-0.552729423415685
31,,17.50940942287447,,0.9767816,-0.484122575989138
32,,,18.0,0.9768286,-0.4258867529725084
33,-1.09167130792624,,,0.9768723,-0.36756997857777784
34,,17.702753691673266,,0.97690535,-0.30473093402454354
35,,,18.0,0.9769298,-0.2420922446551216
36,-1.0770578824102008,,,0.97695327,-0.18648386351079985
37,,17.896263456344588,,0.976979,-0.13924738853857765
38,,,18.0,0.9770026,-0.09777523229891955
39,-1.0684965284552375,,,0.9770191,-0.06073806395270314
40,,18.08991677284242,,0.977026,-0.0300657925575952
41,,,18.0,0.977028,-0.00948609171521782
42,-1.0836198850047412,,,0.9770322,-0.0005389985362210143
43,,18.28375035285951,,0.9770398,-0.0023602676077087016
44,,,18.0,0.97704613,-0.01482822039769425
45,-1.109362717421324,,,0.97704625,-0.0398520666485962
46,,18.477799153327943,,0.9770411,-0.07905733156597554
47,,,18.0,0.9770354,-0.13155724077922215
48,-1.119049701013405,,,0.9770329,-0.19514133904851416
49,,18.672047288417787,,0.9535674,-0.2695588141618916
50,,,18.0,0.8829887,-0.35707065408820166
51,-1.1026069474448645,,,0.71480155,-0.45879667327109613
52,,18.866440937519062,,0.60958695,-0.5705186928011682
53,,,18.0,0.5566666,-0.6858414282543126
54,-1.0753132719231528,,,0.5021236,-0.8040904456706872
55,,19.060938866138457,,0.44298768,-0.9303075248895515
56,,,18.0,0.37768924,-1.0660402786679815
57,-1.0586399430945397,,,0.34049547,-1.2008339190094963
58,,19.25554226636886,,0.32726038,-1.325006624472022
59,,,18.0,0.31442928,-1.4523301437955496
60,-1.0576866421623796,,,0.3036816,-1.6054901833252624
61,,19.45027793884277,,0.2977575,-1.7919554431562787
62,,,18.0,0.30942154,-1.9924500725117178
63,-1.0586809338440295,,,0.3209188,-2.1710470358552327
64,,19.64515954494474,,0.33006382,-2.313951929497013
65,,,18.0,0.3384571,-2.4516211020016527
66,-1.0450811529250421,,,0.348117,-2.622020261335166
67,,19.840169413089754,,0.35885298,-2.8185986651464376
68,,,18.0,0.36859095,-2.9966093298551324
69,-1.013892973489054,,,0.37648356,-3.139299225934849
70,,20.035273702144615,,0.38380504,-3.276058081234363
71,,,18.0,0.39171243,-3.431431838385518
72,-0.976585843072141,,,0.39992476,-3.5969828944564535
73,,20.230450031757346,,0.40791452,-3.761007722649573
74,,,18.0,0.4157622,-3.926320056539598
75,-0.9456633858585919,,,0.4236083,-4.09590132729934
76,,20.425699725151055,,0.43128335,-4.264366994897381
77,,,18.0,0.43856108,-4.425114433104212
78,-0.9214459596919164,,,0.44533002,-4.574095009109232
79,,20.621005036830905,,0.45152092,-4.7086822715363965
80,,,18.0,0.4573034,-4.834120290386692
81,-0.8929334848961803,,,0.4631219,-4.964394472646245
82,,20.816325170993807,,0.46923542,-5.106258240336
83,,,18.0,0.4752196,-5.244222091533732
84,-0.8508754575158806,,,0.48047018,-5.358993433613574
85,,21.011656918525695,,0.48519504,-5.459913197907309
86,,,18.0,0.49020886,-5.574591988638617
87,-0.7975987116405241,,,0.4957615,-5.7091997757345165
88,,21.20699660778046,,0.5013586,-5.84558401664402
89,,,18.0,0.5065514,-5.968808108608934
90,-0.7434577482383817,,,0.5113764,-6.08088392676795
91,,21.402342598438292,,0.5160055,-6.187629406543729
92,,,18.0,0.5206089,-6.295736230999313
93,-0.6957891749582901,,,0.5254202,-6.4142696140483295
94,,21.5976959562302,,0.5304885,-6.544087919536909
95,,,18.0,0.5354099,-6.66786339796951
96,-0.6525999946157741,,,0.53980803,-6.771883610994141
97,,21.79305836200715,,0.54404783,-6.87371275541014
98,,,18.0,0.5487871,-6.999598611892252
99,-0.606275497259932,,,0.5539217,-7.141933449677263
100,,21.988429903984084,,0.5587077,-7.268674224044943
101,,,18.0,0.5629257,-7.373400997899901
102,-0.5520243962222535,,,0.56712353,-7.4815294182792575
103,,22.18380882740022,,0.5716914,-7.608238057989252
104,,,18.0,0.57637155,-7.740250506635779
105,-0.4920287030805435,,,0.5808542,-7.8647241041903655
106,,22.37919315814972,,0.5852468,-7.988005621066265
107,,,18.0,0.58975494,-8.119500442527997
108,-0.4318377745297415,,,0.5944202,-8.26101458470049
109,,22.57458209991455,,0.599241,-8.413040852788917
110,,,18.0,0.6042061,-8.575078614313757
111,-0.3731586640272173,,,0.60918546,-8.740094258892919
112,,22.769976089000725,,0.6140059,-8.899372512228215
113,,,18.0,0.6186793,-9.054388575008367
114,-0.31269031372736755,,,0.62332106,-9.21089811490888
115,,22.965375053882582,,0.62788033,-9.364894793014985
116,,,18.0,0.6321949,-9.507107981030611
117,-0.24645093619766012,,,0.6362605,-9.63806545271391
118,,23.16077785253525,,0.64026,-9.768544994719957
119,,,18.0,0.64432836,-9.905701819972613
120,-0.17339490349371633,,,0.6484183,-10.046028003613236
121,,23.35618265151976,,0.65245295,-10.185386730241573
122,,,18.0,0.65646195,-10.326223110206437
123,-0.09739656931954954,,,0.66054344,-10.475074933359608
124,,23.551588113307954,,0.6647757,-10.636956954783184
125,,,18.0,0.6691377,-10.810272959788065
126,-0.023216342007754243,,,0.67349696,-10.9859653240727
127,,23.74699419975281,,0.67765284,-11.149996843435458
128,,,18.0,0.6814989,-11.295862144392919
129,0.048582585436642844,,,0.6851735,-11.433867808408845
130,,23.942401623725903,,0.6888547,-11.575690460650268
131,,,18.0,0.6925304,-11.71903263949386
132,0.12177118048903957,,,0.6960738,-11.854705467840834
133,,24.137810456752756,,0.69949055,-11.984227595983004
134,,,18.0,0.7029321,-12.119448032372924
135,0.19962982404589802,,,0.70650744,-12.268023600514532
136,,24.333219807148,,0.71015346,-12.42431317304449
137,,,18.0,0.713747,-12.579003420992827
138,0.28117135623312617,,,0.7172444,-12.729117817441907
139,,24.528628418445575,,0.7206775,-12.877588926615635
140,,,18.0,0.7241459,-13.033196606167426
141,0.3627082033525326,,,0.7276741,-13.196544222349404
142,,24.724035906791677,,0.73107755,-13.350563549924452
143,,,18.0,0.7342206,-13.4847484991218
144,0.4417480492865975,,,0.73721766,-13.610335953148581
145,,24.919442636966703,,0.7402644,-13.74455293408219
146,,,18.0,0.74344337,-13.89388691026112
147,0.5191905374348531,,,0.7466564,-14.048357038259855
148,,25.112540893554694,,0.74978757,-14.198093726735667
149,,,18.0,0.7528734,-14.347828870714011
150,0.5975538922040435,,,0.7560184,-14.50757013814922
151,,25.294951620101937,,0.75922215,-14.676268549698511
152,,,18.0,0.7623718,-14.842244719484958
153,0.6773453131683249,,,0.76540923,-15.000876001195708
154,,25.451727404594415,,0.76845145,-15.165440131766994
155,,,18.0,0.7715496,-15.338920298550061
156,0.7553268781138192,,,0.7745131,-15.49962459458213
157,,25.578266880512253,,0.77726936,-15.642133178369832
158,,,18.0,0.78001106,-15.789152449925997
159,0.8281554372545727,,,0.7829313,-15.961529362316693
160,,25.6933274626732,,0.78599155,-16.15270698045068
161,,,18.0,0.78899527,-16.34050654019797
162,0.8967109041774206,,,0.7919047,-16.52247109077826
163,,25.797611608505253,,0.7947972,-16.707786524001136
164,,,18.0,0.79766595,-16.894142623210673
165,0.964524507148238,,,0.80043244,-17.071462102102284
166,,25.89043980598451,,0.80307865,-17.238193648839452
167,,,18.0,0.8056841,-17.405273412147594
168,1.032492265669812,,,0.8083143,-17.579957024116013
169,,25.970621285438543,,0.81087637,-17.747613752686547
170,,,18.0,0.8132175,-17.887373865111634
171,1.0958256791157508,,,0.81536436,-18.005677801463314
172,,26.04015480279926,,0.8175653,-18.13882553353042
173,,,18.0,0.82001996,-18.31385440792158
174,1.1510893208053066,,,0.822665,-18.518865039206663
175,,26.106504588127123,,0.82522964,-18.713863479890858
176,,,18.0,0.82759786,-18.88460219327806
177,1.2051266090314119,,,0.8299012,-19.05276896055651
178,,26.170309314727774,,0.8309474,-19.235982903819863
179,,,18.0,0.8319447,-19.421457897312614
180,1.2670793910901015,,,0.8327596,-19.588284369446647
181,,26.231703987121584,,0.8334229,-19.74232920326023
182,,,18.0,0.8341321,-19.90355859760698
183,1.3386393999715827,,,0.83489895,-20.070510089964348
184,,26.291437218189248,,0.8355216,-20.22080738650424
185,,,18.0,0.8359088,-20.347597807728608
186,1.411541736014815,,,0.83629537,-20.478532621987252
187,,26.3523644900322,,0.8369554,-20.641126416395863
188,,,18.0,0.837834,-20.826247120216244
189,1.4734473305331388,,,0.83868444,-21.00754616449275
190,,26.41577913284301,,0.8394067,-21.175825868584358
191,,,18.0,0.8400489,-21.336828125292154
192,1.5211679491420442,,,0.8406416,-21.493026775032
193,,26.48117925167085,,0.84116244,-21.641593864683276
194,,,18.0,0.84160984,-21.78278682953792
195,1.5657653406566556,,,0.8420317,-21.922314671410483
196,,26.548275465965258,,0.8424711,-22.0647118487871
197,,,18.0,0.8429179,-22.208150552661575
198,1.6192653461786817,,,0.84333706,-22.348819511023933
199,,26.617197806835158,,0.8437388,-22.488413424244605
200,,,18.0,0.8441608,-22.631603722818355
201,1.678868269146343,,,0.8446617,-22.785530127111507
202,,26.68821578502655,,0.8452691,-22.95295614343702
203,,,18.0,0.8464017,-23.127833638804233
204,1.7310717286857678,,,0.8477826,-23.299152566069722
205,,26.76128034591673,,0.8491591,-23.47003564658582
206,,,18.0,0.8504627,-23.63173931124057
207,1.7718067687913512,,,0.85150874,-23.760467001455705
208,,26.83604503393172,,0.8522537,-23.853024187896978
209,,,18.0,0.8529136,-23.939060127780643
210,1.809988420193445,,,0.8537226,-24.046050425141598
211,,26.91228937149045,,0.8546088,-24.16127793811985
212,,,18.0,0.85539293,-24.26292894459512
213,1.852412437440841,,,0.85611224,-24.35845121445687
214,,26.990068712234468,,0.85689354,-24.463822718701312
215,,,18.0,0.8577074,-24.572663811328034
216,1.8965713523240968,,,0.8584343,-24.66964155938265
217,,27.069479968547807,,0.8591006,-24.760624329078965
218,,,18.0,0.8598447,-24.86450189956611
219,1.9393317721961791,,,0.86070013,-24.98344317407285
220,,27.15050747156141,,0.8615074,-25.093436469139164
221,,,18.0,0.8620684,-25.168046654295804
222,1.9814943998254444,,,0.8623916,-25.2115314126589
223,,27.233110799789387,,0.8626628,-25.250333683942483
224,,,18.0,0.86298776,-25.29696016423499
225,2.023833324979935,,,0.8633213,-25.343744589030123
226,,27.317283771038007,,0.86360216,-25.383224788820154
227,,,18.0,0.86389077,-25.42527914001915
