time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
55,83,675.7630004882812,9.899458417892456,0.001,3600,4633,1,4633.0,-571615.689015
38,376,1166.5905590820312,1174.3617807388305,0.001,13400,14432,2,7216.0,-398677.2848195
41,587,1401.6941821289063,2645.6539963531495,0.001,23200,24231,3,8077.0,-341058.1966663333
47,716,1454.3949340820313,14192.184116973876,0.001,33000,34030,4,8507.5,-312231.51402949996
40,1079,1493.8455102539062,6819.529583396911,0.001,42800,43829,5,8765.8,-294922.2855226
40,1336,1517.7078588867187,7686.474269847869,0.001,52600,53628,6,8938.0,-283381.89629966667
40,1549,1545.5102905273438,149.91214590072633,0.001,62400,63427,7,9061.0,-275154.545153
42,1740,1496.6437158203125,60.96753530502319,0.001,72200,73226,8,9153.25,-268975.78402699996
43,1890,1456.464853515625,18264.622113246918,0.001,82000,83025,9,9225.0,-264176.85016722215
45,2044,1419.0974072265626,271.98983623981474,0.001,91800,92824,10,9282.4,-260334.69243719996
46,2191,1404.4825927734375,281.3201288986206,0.001,101600,102623,11,9329.363636363636,-257189.68931154543
47,2350,1189.3176171875,136.4525694310665,0.001,111400,112422,12,9368.5,-254563.88420874998
48,2496,1191.05275390625,393.80782207131386,0.001,121200,122221,13,9401.615384615385,-252344.94340246153
50,2638,1190.9388891601564,136.77701419472695,0.001,131000,132020,14,9430.0,-250441.28848685714
50,2782,1189.1795556640625,272.76432582974434,0.001,140800,141819,15,9454.6,-248794.79371079998
51,2925,1191.341416015625,141.82812823772431,0.001,150600,151618,16,9476.125,-247354.3721340625
52,3065,1186.0648461914063,138.09544231295587,0.001,160400,161417,17,9495.117647058823,-246084.52773217647
53,3206,1182.6009692382813,261.4778311872482,0.001,170200,171216,18,9512.0,-244953.57873283332
54,3346,1188.0010961914063,139.9561981344223,0.001,180000,181015,19,9527.105263157895,-243942.10989631576
54,3486,1191.1170190429686,258.36098873853683,0.001,189800,190814,20,9540.7,-243030.47773369998
55,3625,1182.7714013671875,636.2459708333015,0.001,199600,200613,21,9553.0,-242205.499961
55,3765,1180.9873828125,511.1213168382645,0.001,209400,210412,22,9564.181818181818,-241458.4339945909
56,3903,1178.29373046875,384.76546050667764,0.001,219200,220211,23,9574.391304347826,-240775.045243
56,4040,1181.5434741210938,388.6208841586113,0.001,229000,230010,24,9583.75,-240151.751978875
57,4179,1173.4619750976562,131.7020143210888,0.001,238800,239809,25,9592.36,-239575.93892692
57,4317,1172.4857568359375,256.56980024814607,0.001,248600,249608,26,9600.307692307691,-239044.11363046154
58,4457,1173.92150390625,377.90941858172414,0.001,258400,259407,27,9607.666666666666,-238553.10150574075
58,4596,1170.2567993164062,377.9336026632786,0.001,268200,269206,28,9614.5,-238097.7147764643
58,4735,1170.00830078125,127.37818321883678,0.001,278000,279005,29,9620.862068965518,-237672.33347379314
59,4874,1168.6360400390624,628.0879146051407,0.001,287800,288804,30,9626.8,-237274.6385204667
59,5011,1168.0406201171875,251.45995597183705,0.001,297600,298603,31,9632.354838709678,-236902.61700919358
59,5148,1168.667412109375,248.21292905926705,0.001,307400,308402,32,9637.5625,-236553.28942565626
60,5283,1163.5685815429688,2.393357480764389,0.001,317200,318201,33,9642.454545454546,-236226.4680431818
60,5418,1166.11744140625,250.60625464200973,0.001,326900,328000,34,9647.058823529413,-235919.14241497059
60,5549,1165.1344018554687,248.47119636893274,0.001,336700,337799,35,9651.4,-235629.25977885714
61,5680,1164.4229760742187,249.4550200009346,0.001,346500,347598,36,9655.5,-235357.1281033056
61,5811,1163.9871630859375,498.61074779987337,0.001,356300,357397,37,9659.378378378378,-235097.73985775682
61,5941,1172.8485278320313,125.10446375727653,0.001,366100,367196,38,9663.052631578947,-234851.06569042112
62,6072,1168.0000732421875,250.62771349430085,0.001,375900,376995,39,9666.538461538461,-234617.19224915392
62,6203,1173.3601293945312,379.4853653120995,0.001,385700,386794,40,9669.85,-234395.24137057498
62,6333,1169.0652709960937,253.42938457489015,0.001,395500,396593,41,9673.0,-234186.22642229265
62,6466,1169.4955883789062,881.9165586924553,0.001,405300,406392,42,9676.0,-233984.63417159521
63,6600,1165.3640112304688,629.3609631896019,0.001,415100,416191,43,9678.860465116279,-233791.56513679065
63,6734,1173.129482421875,126.79622439861298,0.001,424900,425990,44,9681.59090909091,-233608.39199247723
63,6870,1172.7788720703124,253.07806501805783,0.001,434700,435789,45,9684.2,-233431.45533079997
63,7005,1162.8311547851563,374.5643006396294,0.001,444500,445588,46,9686.695652173914,-233263.45450315214
63,7140,1170.0733618164063,251.18535633206366,0.001,454300,455387,47,9689.08510638298,-233103.7684017447
63,7275,1166.2550317382813,126.0060698890686,0.001,464100,465186,48,9691.375,-232949.98759372917
64,7411,1168.682861328125,624.4453068971634,0.001,473900,474985,49,9693.57142857143,-232804.0914245306
64,7545,1168.1404272460939,500.549562523365,0.001,483700,484784,50,9695.68,-232663.09299777998
64,7680,1174.272470703125,125.04722281426191,0.001,493500,494583,51,9697.70588235294,-232527.56888913724
64,7814,1165.8349633789062,0.6346113845705986,0.001,503300,504382,52,9699.653846153846,-232397.13413638461
