rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate
9799.0,9799,26,365,335.1279998779297,8700,-200209.851229,0.766196560561657,1,0.001
9799.0,19598,3,6289,653.5397802734375,18500,-212995.08653899998,0.7260553622245789,2,0.001
9799.0,29397,0,38530,863.5526025390625,28300,-217234.66615566667,149.4329879486561,3,0.001
9799.0,39196,1,38647,994.0129553222656,38100,-219370.1093045,99.1509023886919,4,0.001
9799.0,48995,1,38788,1069.9637475585937,47900,-220652.8477852,1.3942785310745238,5,0.001
9799.0,58794,1,38909,1123.0610986328124,57700,-221496.64402033333,244.84149341881275,6,0.001
9799.0,68593,1,39030,1160.6908471679687,67500,-222090.97326885717,128.63941520869733,7,0.001
9799.0,78392,2,39151,1167.0810229492188,77300,-222549.6767625,3.5033035376667976,8,0.001
9799.0,88191,2,39271,1179.8415209960938,87100,-222902.47856566668,1.0206421703100204,9,0.001
9799.0,97990,2,39397,1185.1591943359374,96900,-223186.58540270003,134.89715237557888,10,0.001
9799.0,107789,2,39521,1197.0787255859375,106700,-223421.2801214546,664.801339507103,11,0.001
9799.0,117588,2,39644,1201.6984765625,116500,-223617.79761716668,133.51934128910304,12,0.001
9799.0,127387,3,39767,1196.9288452148437,126300,-223778.94817861542,921.6338996315003,13,0.001
9799.0,137186,3,39890,1196.0668725585938,136100,-223918.29046757147,264.7452788040042,14,0.001
9799.0,146985,3,40013,1191.1080981445311,145900,-224036.4843004667,531.6771946001053,15,0.001
9799.0,156784,3,40136,1198.5290380859376,155700,-224145.4514474375,389.14218245625494,16,0.001
9799.0,166583,4,40261,1196.6392602539063,165500,-224240.5424229412,262.10657158493996,17,0.001
9799.0,176382,4,40385,1194.5741259765625,175300,-224322.53227866665,390.3729922410846,18,0.001
9799.0,186181,4,40509,1193.484404296875,185100,-224394.7425910526,261.75439250022174,19,0.001
9799.0,195980,4,40633,1197.70025390625,194900,-224463.37145289997,2.4271005050837995,20,0.001
9799.0,205779,5,40757,1198.0133544921875,204700,-224521.35717447617,522.9054263302684,21,0.001
9799.0,215578,5,40881,1202.942705078125,214500,-224577.72119722728,392.8876526850462,22,0.001
9799.0,225377,5,41005,1190.0589990234375,224300,-224628.3661849565,784.6630686506629,23,0.001
9799.0,235176,5,41129,1190.5031225585938,234100,-224677.13122933335,0.6125125324726105,24,0.001
9799.0,244975,5,41252,1192.637646484375,243900,-224721.19338224002,261.1984666353464,25,0.001
9799.0,254774,6,41375,1189.0414306640625,253700,-224762.63021361543,130.53964200317859,26,0.001
9799.0,264573,6,41499,1188.878642578125,263500,-224797.36727122223,389.819979724586,27,0.001
9799.0,274372,6,41622,1190.1819873046875,273300,-224832.04182578574,260.4730888390541,28,0.001
9799.0,284171,6,41745,1186.4957373046875,283100,-224863.42919417244,389.27341251790523,29,0.001
9799.0,293970,7,41868,1191.2845092773437,292900,-224892.3206332,260.25690343350175,30,0.001
9799.0,303769,7,42000,1188.5885546875,302700,-224918.82980403226,393.2723282241821,31,0.001
9799.0,313568,7,42127,1187.0635864257813,312500,-224945.20870871877,516.5622649568319,32,0.001
9799.0,323367,7,42255,1188.3698828125,322300,-224969.06418290912,392.24907021462917,33,0.001
9799.0,333166,7,42382,1187.6546411132813,332100,-224990.58217955884,130.3231110367179,34,0.001
9799.0,342965,8,42509,1187.5539868164062,341900,-225012.35748057146,128.4629671534896,35,0.001
9799.0,352764,8,42635,1188.1834887695313,351700,-225032.40426969447,519.998858371377,36,0.001
9799.0,362563,8,42762,1182.1949829101563,361500,-225051.7404093784,387.2990912811458,37,0.001
9799.0,372362,8,42889,1180.9351098632812,371300,-225068.52821121056,128.63606305539608,38,0.001
9799.0,382161,8,43017,1183.7054565429687,381100,-225086.11127815387,130.16392242118715,39,0.001
9799.0,391960,9,43145,1182.5936962890626,390900,-225101.53994255,258.96013980835676,40,0.001
9799.0,401759,9,43271,1180.2118676757811,400700,-225117.75883624388,641.7143966537714,41,0.001
9799.0,411558,9,43397,1176.8312353515626,410500,-225131.9960252143,383.0471061939001,42,0.001
9799.0,421357,9,43524,1178.4757080078125,420300,-225145.68341246512,382.67234603852035,43,0.001
9799.0,431156,9,43650,1179.5169799804687,430100,-225158.17695863638,764.5821546006202,44,0.001
9799.0,440955,10,43777,1182.6280322265625,439900,-225170.72838440005,383.5473235669732,45,0.001
9799.0,450754,10,43904,1172.800712890625,449700,-225183.35036369567,767.0856832927466,46,0.001
9799.0,460553,10,44031,1180.004453125,459500,-225195.94503727663,128.31204075708985,47,0.001
9799.0,470352,10,44158,1178.6755419921874,469300,-225208.4494015208,378.4049277767539,48,0.001
9799.0,480151,10,44285,1172.5829052734375,479100,-225219.0961887551,383.0159274798632,49,0.001
9799.0,489950,11,44412,1177.9013720703124,488900,-225229.57951019998,127.48810112819075,50,0.001
9799.0,499749,11,44538,1179.1201831054686,498700,-225239.3787887059,126.02756649523974,51,0.001
